,userName,score,at,content,target,text,token,token_bersih
0,Mm Uu,5,2023-02-07 13:17:28,Sangat mengimpirasi dan membantu tuk bersilaturrahmi kesemua orang,1,sangat mengimpirasi dan membantu tuk bersilaturrahmi kesemua orang,"['sangat', 'mengimpirasi', 'dan', 'membantu', 'tuk', 'bersilaturrahmi', 'kesemua', 'orang']","['mengimpirasi', 'membantu', 'tuk', 'bersilaturrahmi', 'kesemua', 'orang']"
1,israely miguel,1,2023-02-07 09:53:53,Kok apk ini nggak bisa di instal yah Instal lewat google chrome lebih. baguss sih,0,kok apk ini nggak bisa di instal yah instal lewat google chrome lebih  baguss sih,"['kok', 'apk', 'ini', 'nggak', 'bisa', 'di', 'instal', 'yah', 'instal', 'lewat', 'google', 'chrome', 'lebih', 'baguss', 'sih']","['apk', 'nggak', 'instal', 'instal', 'google', 'chrome', 'baguss', 'sih']"
2,Md Meraj,1,2023-02-07 08:41:10,Moon,0,moon,['moon'],['moon']
3,My Self,5,2023-02-07 08:12:31,Saya sangat suka karna kita bisa lihat teman2 kita dan siapapun,1,saya sangat suka karna kita bisa lihat teman2 kita dan siapapun,"['saya', 'sangat', 'suka', 'karna', 'kita', 'bisa', 'lihat', 'teman2', 'kita', 'dan', 'siapapun']","['suka', 'lihat', 'teman2']"
4,BONITOBOXING22 BENFICA22,5,2023-02-07 08:08:11,👌👌👌👌,1,👌👌👌👌,[],[]
5,Nur Hidayati,5,2023-02-07 07:11:02,Sy sangat terhibur dengan bermain tiktok kenapa sekarang sy tdk bisa mendowload lagi,1,sy sangat terhibur dengan bermain tiktok kenapa sekarang sy tdk bisa mendowload lagi,"['sy', 'sangat', 'terhibur', 'dengan', 'bermain', 'tiktok', 'kenapa', 'sekarang', 'sy', 'tdk', 'bisa', 'mendowload', 'lagi']","['sy', 'terhibur', 'bermain', 'tiktok', 'sy', 'tdk', 'mendowload']"
6,Riko Pamungkas,5,2023-02-07 07:08:21,👍,1,👍,[],[]
7,Ade Morena,5,2023-02-07 06:40:42,Buka,1,buka,['buka'],['buka']
8,Domin Kmaneek,5,2023-02-07 05:20:08,👍👍,1,👍👍,[],[]
9,sri Mila,5,2023-02-07 02:53:14,"Tik tok luar biasa, bisa membantu ke uangan keluarga aku",1,tik tok luar biasa  bisa membantu ke uangan keluarga aku,"['tik', 'tok', 'luar', 'biasa', 'bisa', 'membantu', 'ke', 'uangan', 'keluarga', 'aku']","['tik', 'tok', 'membantu', 'uangan', 'keluarga']"
10,Eccehomo Ruiz,1,2023-02-06 22:55:27,Manuel laya,0,manuel laya,"['manuel', 'laya']","['manuel', 'laya']"
11,Ana Ximenes,4,2023-02-06 22:34:11,Aplikasinya keren banget,1,aplikasinya keren banget,"['aplikasinya', 'keren', 'banget']","['aplikasinya', 'keren', 'banget']"
12,Ayank Pesek,3,2023-02-06 22:02:25,Cukup menghibur,0,cukup menghibur,"['cukup', 'menghibur']",['menghibur']
13,Noor Fitri Dzaki,2,2023-02-06 12:33:41,Hello tiktok mohon aku gak ada fitur game seluer,0,hello tiktok mohon aku gak ada fitur game seluer,"['hello', 'tiktok', 'mohon', 'aku', 'gak', 'ada', 'fitur', 'game', 'seluer']","['tiktok', 'mohon', 'gak', 'fitur', 'game', 'seluer']"
14,Beby Icha,1,2023-02-06 09:04:35,Masih kurang bguss🙏,0,masih kurang bguss🙏,"['masih', 'kurang']",[]
15,Francisco DaSilva,1,2023-02-06 03:36:50,baby,0,baby,['baby'],['baby']
16,Yulia Kristanti,5,2023-02-06 02:13:09,Ramh tamah,1,ramh tamah,"['ramh', 'tamah']","['ramh', 'tamah']"
17,Yandry Ferdinand,4,2023-02-06 02:12:06,Berat untuk jaringan yang ga stabil,1,berat untuk jaringan yang ga stabil,"['berat', 'untuk', 'jaringan', 'yang', 'ga', 'stabil']","['berat', 'jaringan', 'yang', 'stabil']"
18,Nuraini Lala,5,2023-02-06 01:42:09,Good,1,good,['good'],[]
19,Nirmalla Irma,5,2023-02-05 19:49:54,Tolong di bantu Kenapa tiktok ku yang sekarang tidak bisah di download lagi setelah ke hapus,1,tolong di bantu kenapa tiktok ku yang sekarang tidak bisah di download lagi setelah ke hapus,"['tolong', 'di', 'bantu', 'kenapa', 'tiktok', 'ku', 'yang', 'sekarang', 'tidak', 'bisah', 'di', 'download', 'lagi', 'setelah', 'ke', 'hapus']","['tolong', 'bantu', 'tiktok', 'ku', 'yang', 'bisah', 'download', 'hapus']"
20,Zinho Rodrigues,5,2023-02-05 14:55:16,Bgus,1,bgus,['bgus'],['bgus']
21,Joao Borges,5,2023-02-05 10:33:46,Kenapa saya mendanlow app tiktok tida bissa,1,kenapa saya mendanlow app tiktok tida bissa,"['kenapa', 'saya', 'mendanlow', 'app', 'tiktok', 'tida', 'bissa']","['mendanlow', 'app', 'tiktok', 'tida', 'bissa']"
22,Marianu da Costa,4,2023-02-05 06:59:25,Se jauh ini sih lumayan bagus dan menarik buat saya,1,se jauh ini sih lumayan bagus dan menarik buat saya,"['se', 'jauh', 'ini', 'sih', 'lumayan', 'bagus', 'dan', 'menarik', 'buat', 'saya']","['sih', 'lumayan', 'bagus', 'menarik']"
23,Fuller Fuller felix,5,2023-02-05 04:36:50,Aplikasi sangat baik,1,aplikasi sangat baik,"['aplikasi', 'sangat', 'baik']",['aplikasi']
