userName,score,at,content,target
Mm Uu,5,2023-02-07 13:17:28,Sangat mengimpirasi dan membantu tuk bersilaturrahmi kesemua orang,1
israely miguel,1,2023-02-07 09:53:53,Kok apk ini nggak bisa di instal yah Instal lewat google chrome lebih. baguss sih,0
Md Meraj,1,2023-02-07 08:41:10,Moon,0
My Self,5,2023-02-07 08:12:31,Saya sangat suka karna kita bisa lihat teman2 kita dan siapapun,1
BONITOBOXING22 BENFICA22,5,2023-02-07 08:08:11,👌👌👌👌,1
Nur Hidayati,5,2023-02-07 07:11:02,Sy sangat terhibur dengan bermain tiktok kenapa sekarang sy tdk bisa mendowload lagi,1
Riko Pamungkas,5,2023-02-07 07:08:21,👍,1
Ade Morena,5,2023-02-07 06:40:42,Buka,1
Domin Kmaneek,5,2023-02-07 05:20:08,👍👍,1
sri Mila,5,2023-02-07 02:53:14,"Tik tok luar biasa, bisa membantu ke uangan keluarga aku",1
Eccehomo Ruiz,1,2023-02-06 22:55:27,Manuel laya,0
Ana Ximenes,4,2023-02-06 22:34:11,Aplikasinya keren banget,1
Ayank Pesek,3,2023-02-06 22:02:25,Cukup menghibur,0
Noor Fitri Dzaki,2,2023-02-06 12:33:41,Hello tiktok mohon aku gak ada fitur game seluer,0
Beby Icha,1,2023-02-06 09:04:35,Masih kurang bguss🙏,0
Francisco DaSilva,1,2023-02-06 03:36:50,baby,0
Yulia Kristanti,5,2023-02-06 02:13:09,Ramh tamah,1
Yandry Ferdinand,4,2023-02-06 02:12:06,Berat untuk jaringan yang ga stabil,1
Nuraini Lala,5,2023-02-06 01:42:09,Good,1
Nirmalla Irma,5,2023-02-05 19:49:54,Tolong di bantu Kenapa tiktok ku yang sekarang tidak bisah di download lagi setelah ke hapus,1
Zinho Rodrigues,5,2023-02-05 14:55:16,Bgus,1
Joao Borges,5,2023-02-05 10:33:46,Kenapa saya mendanlow app tiktok tida bissa,1
Marianu da Costa,4,2023-02-05 06:59:25,Se jauh ini sih lumayan bagus dan menarik buat saya,1
Fuller Fuller felix,5,2023-02-05 04:36:50,Aplikasi sangat baik,1
Neng Heni,3,2023-02-05 03:52:47,Coba dlu enk ap gk ny pke app tiktok bru biasa ny suka gk ad krnjg kuning,0
Rava Rav,5,2023-02-04 16:11:34,Nice,1
Grace Aulia,5,2023-02-04 12:31:14,Keren Poko nya saya suka udet terus,1
Abrão Da Crus G,5,2023-02-04 11:34:59,𝐒𝐚𝐲𝐚 𝐍𝐲𝐚𝐦𝐚𝐧 𝐝𝐚𝐧 𝐀𝐩𝐥𝐢𝐤𝐚𝐬𝐢𝐧𝐲𝐚 𝐣𝐮𝐠𝐚 𝐦𝐞𝐧𝐚𝐫𝐢𝐤,1
Radtya Putra,1,2023-02-04 09:32:52,Gajelas,0
Ivo Piedade,5,2023-02-04 07:36:16,Mantap sekali 👍,1
